cod,denumire,regiune,subregiune,grupa unit 5,unit 5 grup 6,unit 6 grup 7,unit ord 7
339,Dealul Cîrligei,IX,A,a,2,2.1,2.1.1
340,Dealurile Sîrbesti,IX,A,a,2,2.1,2.1.2
341,Dealurile Copacioasei,IX,A,a,1,1.2,1.2.1
342,Depresiunea Carbunesti (Cîmpul Mare),IX,A,a,1,1.7,
343,Depresiunea Tîrgu Jiu,IX,A,a,1,1.6,
344,Culoarul Jiului,IX,A,a,,,
345,Dealul Sporesti,IX,A,a,1,1.1,1.1.1
346,Dealul Rasovei,IX,A,a,1,1.1,1.1.2
347,Dealul Tîrgului,IX,A,a,1,1.1,1.1.4
348,Dealul Bradiceni,IX,A,a,1,1.1,1.1.3
349,Depresiunea Tîrgu Jiu,IX,A,a,1,1.6,
350,Podisul Mehedinti,X,,,,,
351,Depresiunea Moldova Noua,IV,,e,,0.1,
352,Depresiunea Liubcova,IV,,e,,,0.0.2
353,Depresiunea Orsova,IV,,e,,,0.0.3
354,Culoarul Bistrei,IV,,c,,0.1,
355,Depresiunea Caransebes (Timisului),IV,,c,2,2.1,
356,Culoarul Cernei,IV,,c,2,,2.0.3
357,Depresiunea Mehadica (Domasnea),IV,,c,2,2.2,
358,Dealurile Tîrovei,IV,,a,,,0.0.4
359,Culmea Svinecei,IV,,a,1,1.2,
360,Depresiunea Bozovici (Tara Almajului),IV,,a,,0.4,
361,Muntii Ravenscai,IV,,a,1,1.1,
362,Muntele Radimnei,IV,,b,1,1.1,
363,Podisul Carbunari,IV,,b,1,1.2,
364,Depresiunea Carasului (C. Carasului),VIII,,b,4,,
365,Depresiunea Garîna,IV,,a,2,2.2,2.2.1
366,Masivul Neman,IV,,a,2,2.2,2.2.2
367,Muntii Piatra Goznei,IV,,a,2,2.1,
368,Muntii Leordis,IV,,b,2,,2.0.1
369,Muntii  Iabalcei,IV,,b,2,,2.0.2
370,Culmea Certej - Puscasul Mare,IV,,b,2,,2.0.4
371,Depresiunea Aninei,IV,,b,2,,2.0.5
372,Muntii Gîrlistei,IV,,b,2,,2.0.3
373,Depresiunea Lupac - Carasova,IV,,b,,0.4,0.4.4
374,Muntii Arenisului,IV,,b,3,,3.0.2
375,Dealul Bucitu,IV,,b,,0.4,0.4.3
376,Depresiunea Resita - Cîlnic,IV,,b,,0.4,0.4.2
377,Dealul Ezerisului,IV,,b,,0.4,0.4.1
378,Depresiunea Ezeris,VIII,,b,1,,1.0.5
